年月,信用卡產業別,信用卡詐欺型態,詐欺筆數,詐欺金額[新臺幣]
201401,食,遺失卡,62,504284
201401,食,被竊卡,14,129767
201401,食,未達卡,0,0
201401,食,冒用申請卡,0,0
201401,食,偽卡,46,372770
201401,食,MOTO / EC,156,1591438
201401,食,多刷帳單之詐欺,0,0
201401,食,其他,6,8997
201401,衣,遺失卡,16,331229
201401,衣,被竊卡,5,62633
201401,衣,未達卡,0,0
201401,衣,冒用申請卡,0,0
201401,衣,偽卡,42,956576
201401,衣,MOTO / EC,94,1289832
201401,衣,多刷帳單之詐欺,0,0
201401,衣,其他,4,53547
201401,住,遺失卡,7,71455
201401,住,被竊卡,8,31130
201401,住,未達卡,0,0
201401,住,冒用申請卡,0,0
201401,住,偽卡,18,369897
201401,住,MOTO / EC,145,1720964
201401,住,多刷帳單之詐欺,0,0
201401,住,其他,1,4428
201401,行,遺失卡,15,19305
201401,行,被竊卡,6,15058
201401,行,未達卡,0,0
201401,行,冒用申請卡,0,0
201401,行,偽卡,9,27120
201401,行,MOTO / EC,72,1377233
201401,行,多刷帳單之詐欺,0,0
201401,行,其他,24,118412
201401,文教康樂,遺失卡,19,224804
201401,文教康樂,被竊卡,8,42595
201401,文教康樂,未達卡,0,0
201401,文教康樂,冒用申請卡,0,0
201401,文教康樂,偽卡,1,3860
201401,文教康樂,MOTO / EC,3902,8101294
201401,文教康樂,多刷帳單之詐欺,0,0
201401,文教康樂,其他,10,20609
201401,百貨,遺失卡,21,596293
201401,百貨,被竊卡,4,120365
201401,百貨,未達卡,1,1468
201401,百貨,冒用申請卡,0,0
201401,百貨,偽卡,23,561811
201401,百貨,MOTO / EC,35,242729
201401,百貨,多刷帳單之詐欺,0,0
201401,百貨,其他,4,38735
201401,其他,遺失卡,40,509044
201401,其他,被竊卡,19,272230
201401,其他,未達卡,0,0
201401,其他,冒用申請卡,18,8070
201401,其他,偽卡,37,538807
201401,其他,MOTO / EC,19951,27719453
201401,其他,多刷帳單之詐欺,2,13154
201401,其他,其他,57,473330
201402,食,遺失卡,40,351943
201402,食,被竊卡,15,292734
201402,食,未達卡,0,0
201402,食,冒用申請卡,13,273011
201402,食,偽卡,37,449352
201402,食,MOTO / EC,135,1404667
201402,食,多刷帳單之詐欺,0,0
201402,食,其他,1,40000
201402,衣,遺失卡,10,49434
201402,衣,被竊卡,5,20120
201402,衣,未達卡,0,0
201402,衣,冒用申請卡,2,2694
201402,衣,偽卡,6,85824
201402,衣,MOTO / EC,123,1752405
201402,衣,多刷帳單之詐欺,0,0
201402,衣,其他,2,30932
201402,住,遺失卡,6,89087
201402,住,被竊卡,7,106925
201402,住,未達卡,0,0
201402,住,冒用申請卡,14,39131
201402,住,偽卡,6,279906
201402,住,MOTO / EC,130,1603616
201402,住,多刷帳單之詐欺,1,4141
201402,住,其他,11,74510
201402,行,遺失卡,29,42517
201402,行,被竊卡,10,12856
201402,行,未達卡,0,0
201402,行,冒用申請卡,43,45406
201402,行,偽卡,3,5258
201402,行,MOTO / EC,102,1528602
201402,行,多刷帳單之詐欺,0,0
201402,行,其他,1,139
201402,文教康樂,遺失卡,25,183045
201402,文教康樂,被竊卡,5,217759
201402,文教康樂,未達卡,0,0
201402,文教康樂,冒用申請卡,16,31012
201402,文教康樂,偽卡,1,1545
201402,文教康樂,MOTO / EC,4122,6535193
201402,文教康樂,多刷帳單之詐欺,0,0
201402,文教康樂,其他,16,26448
201402,百貨,遺失卡,10,265175
201402,百貨,被竊卡,7,52427
201402,百貨,未達卡,0,0
201402,百貨,冒用申請卡,6,14988
201402,百貨,偽卡,10,225054
201402,百貨,MOTO / EC,21,75060
201402,百貨,多刷帳單之詐欺,0,0
201402,百貨,其他,3,37486
201402,其他,遺失卡,61,588167
201402,其他,被竊卡,21,503604
201402,其他,未達卡,0,0
201402,其他,冒用申請卡,21,118557
201402,其他,偽卡,55,667733
201402,其他,MOTO / EC,18202,22710017
201402,其他,多刷帳單之詐欺,3,5893
201402,其他,其他,75,488322
201403,食,遺失卡,46,448151
201403,食,被竊卡,20,168705
201403,食,未達卡,2,45000
201403,食,冒用申請卡,0,0
201403,食,偽卡,108,901466
201403,食,MOTO / EC,209,2059731
201403,食,多刷帳單之詐欺,0,0
201403,食,其他,19,397052
201403,衣,遺失卡,18,180515
201403,衣,被竊卡,8,152163
201403,衣,未達卡,2,63198
201403,衣,冒用申請卡,0,0
201403,衣,偽卡,6,106072
201403,衣,MOTO / EC,106,1120753
201403,衣,多刷帳單之詐欺,0,0
201403,衣,其他,1,9670
201403,住,遺失卡,13,110658
201403,住,被竊卡,5,110741
201403,住,未達卡,6,7955
201403,住,冒用申請卡,0,0
201403,住,偽卡,6,137884
201403,住,MOTO / EC,146,1833224
201403,住,多刷帳單之詐欺,0,0
201403,住,其他,10,42417
201403,行,遺失卡,12,61043
201403,行,被竊卡,16,11661
201403,行,未達卡,7,6744
201403,行,冒用申請卡,0,0
201403,行,偽卡,27,379341
201403,行,MOTO / EC,381,4931094
201403,行,多刷帳單之詐欺,0,0
201403,行,其他,46,131682
201403,文教康樂,遺失卡,15,96436
201403,文教康樂,被竊卡,1,2237
201403,文教康樂,未達卡,147,143000
201403,文教康樂,冒用申請卡,2,22465
201403,文教康樂,偽卡,6,37275
201403,文教康樂,MOTO / EC,3677,7290402
201403,文教康樂,多刷帳單之詐欺,1,26251
201403,文教康樂,其他,9,24177
201403,百貨,遺失卡,17,233740
201403,百貨,被竊卡,7,34969
201403,百貨,未達卡,0,0
201403,百貨,冒用申請卡,0,0
201403,百貨,偽卡,16,271078
201403,百貨,MOTO / EC,38,127237
201403,百貨,多刷帳單之詐欺,0,0
201403,百貨,其他,0,0
201403,其他,遺失卡,34,365665
201403,其他,被竊卡,24,119670
201403,其他,未達卡,12,57061
201403,其他,冒用申請卡,4,16859
201403,其他,偽卡,88,1170770
201403,其他,MOTO / EC,21046,24819803
201403,其他,多刷帳單之詐欺,6,33430
201403,其他,其他,98,783438
201404,食,遺失卡,71,391189
201404,食,被竊卡,29,220126
201404,食,未達卡,1,29000
201404,食,冒用申請卡,0,0
